Station Name,Current Output (MW),Region,Most Recent Output Time (AEST),Current % of Max Cap,Current % of Reg Cap,Max Cap (MW),Reg Cap (MW),Max ROC/Min,Unit Size (MW),Physical Unit No.,Participant,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Aggregation,DUID,Lat,Lon
"Torrens Island Power Station ""B""",0,SA1,2022-07-01T11:05:00+0000,0,0,210,200,20,200,1,AGL SA Generation Pty Limited,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,N,TORRB1,-34.805171,138.52262
"Torrens Island Power Station ""B""",185,SA1,2022-07-01T11:05:00+0000,88.1,92.5,210,200,20,200,2,AGL SA Generation Pty Limited,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,N,TORRB2,-34.805171,138.52262
"Torrens Island Power Station ""B""",195,SA1,2022-07-01T11:05:00+0000,92.86,97.5,210,200,20,200,3,AGL SA Generation Pty Limited,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,N,TORRB3,-34.805171,138.52262
"Torrens Island Power Station ""B""",124,SA1,2022-07-01T11:05:00+0000,59.05,62,210,200,20,200,4,AGL SA Generation Pty Limited,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,N,TORRB4,-34.805171,138.52262
Trevallyn Power Station,79.10282,TAS1,2022-07-01T11:05:00+0000,76.8,98.88,103,80,60,20,4-Jan,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,TREVALLN,-41.423142,147.11283
Tribute Power Station,48.29,TAS1,2022-07-01T11:05:00+0000,52.49,58.32,92,82.8,40,82.8,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,TRIBUTE,-41.811805,145.653567
Tumut 3 Power Station,255.64001,NSW1,2022-07-01T11:05:00+0000,14.2,17.04,1800,1500,600,250,6-Jan,Snowy Hydro Limited,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,TUMUT3,-35.611218,148.291685
Tungatinah Power Station,103.58003,TAS1,2022-07-01T11:05:00+0000,72.84,82.86,142.2,125,75,25,5-Jan,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,TUNGATIN,-42.296671,146.456543
Tamar Valley Combined Cycle Power Station,0,TAS1,2022-07-01T11:05:00+0000,0,0,208,208,9,"141, 68","1, 2",Aurora Energy (Tamar Valley) Pty Ltd trading as AETV Power,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,"Combined Cycle Gas turbines (OCGT), Combined Cycle Gas Turbines (CCGT)",Y,TVCC201,-41.140125,146.903636
Tamar Valley Peaking  Power Station,57.88517,TAS1,2022-07-01T11:05:00+0000,99.8,99.8,58,58,10,58,1,Aurora Energy (Tamar Valley) Pty Ltd trading as AETV Power,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,TVPP104,-41.140125,146.903636
